office_name,office_address,office_type,zone_id,circle_id
Dhaka PWD Circle 4,Dhaka,3,1,1
Savar PWD Circle,Dhaka,3,1,2
Dhaka PWD Circle-5,Dhaka,3,1,3
Bogura PWD Circle,Bogura,3,2,4
Rajshahi PWD Circle,Rajshahi,3,2,5
Pabna PWD Circle,Pabna,3,2,6
Rajshahi PWD E/M Circle,Rajshahi,3,2,7
Jashore PWD Circle,Jashore,3,3,8
Khulna PWD Circle,Khulna,3,3,9
Cumilla PWD Circle,Cumilla,3,4,10
Chattogram PWD Circle-1,Chattogram,3,4,11
Chattogram PWD Circle-2,Chattogram,3,4,12
PWD E/M Circle,Chattogram,3,4,13
Rangamati PWD Circle,Rangamati,3,4,14
Sylhet PWD Circle,Sylhet,3,5,15
Barishal PWD Circle,Barishal,3,6,16
Rangpur PWD Circle,Rangpur,3,7,17
Dinajpur PWD Circle,Dinajpur,3,7,18
Mymensingh PWD Circle,Mymensingh,3,8,19
Tangail PWD Circle,Tangail,3,8,20
Gopalganj PWD Circle,Gopalganj,3,9,21
Dhaka PWD Circle-1,Dhaka,3,10,22
Dhaka PWD Circle-2,Dhaka,3,10,23
Dhaka PWD Circle-3,Dhaka,3,10,24
PWD E/M Circle-1,Dhaka,3,11,25
PWD E/M Circle-2,Dhaka,3,11,26
PWD E/M Circle-3,Dhaka,3,11,27
PWD E/M Planning Circle,Dhaka,3,11,28
PWD E/M P&D Circle,Dhaka,3,12,29
PWD E/M Circle-4,Dhaka,3,12,30
PWD E/M Design Circle,Dhaka,3,12,31
PWD MIS Circle,Dhaka,3,12,32
PWD Maintenance Circle,Dhaka,3,13,33
