office_name,office_address,office_type,zone_id,circle_id,division_id
Azimpur PWD Division,Azimpur,4,1,1,1
Motijheel PWD Division,Motijheel,4,1,1,2
Munshiganj PWD Division,Munshiganj,4,1,1,3
Narayanganj PWD Division,Narayanganj,4,1,1,4
Narsingdi PWD Division,Narsingdi,4,1,1,5
PWD Resource Division,Dhaka,4,1,1,6
Gazipur PWD Division,Gazipur,4,1,2,7
Manikganj PWD Division,Manikganj,4,1,2,8
Mirpur PWD Division,Mirpur,4,1,2,9
Savar PWD Division,Savar,4,1,2,10
Dhaka PWD Division-5,Dhaka,4,1,3,11
Bogura PWD Division,Bogura,4,2,4,12
Joypurhat PWD Division,Joypurhat,4,2,4,13
Chapainawabganj PWD Division,Chapainawabganj,4,2,5,14
Naogaon PWD Division,Naogaon,4,2,5,15
Rajshahi PWD Division-1,Rajshahi,4,2,5,16
Rajshahi PWD Division-2,Rajshahi,4,2,5,17
Rajshahi PWD E/M P&D Division,Rajshahi,4,2,5,18
Natore PWD Division,Natore,4,2,6,19
Pabna PWD Division,Pabna,4,2,6,20
Pabna PWD E/M Division,Pabna,4,2,6,21
Sirajganj PWD Division,Sirajganj,4,2,6,22
Rajshahi PWD E/M Division,Rajshahi,4,2,7,23
Chuadanga PWD Division,Chuadanga,4,3,8,24
Jashore PWD Division,Jashore,4,3,8,25
Jhenaidah PWD Division,Jhenaidah,4,3,8,26
Kushtia PWD Division,Kushtia,4,3,8,27
Magura PWD Division,Magura,4,3,8,28
Meherpur PWD Division,Meherpur,4,3,8,29
Narail PWD Division,Narail,4,3,8,30
Bagerhat PWD Division,Bagerhat,4,3,9,31
Khulna PWD Division-1,Khulna,4,3,9,32
Khulna PWD Division-2,Khulna,4,3,9,33
Khulna PWD E/M P&D Division,Khulna,4,3,9,34
Satkhira PWD Division,Satkhira,4,3,9,35
Brahmanbaria PWD Division,Brahmanbaria,4,4,10,36
Chandpur PWD Division,Chandpur,4,4,10,37
Cumilla PWD Division,Cumilla,4,4,10,38
Feni PWD Division,Feni,4,4,10,39
Lakshmipur PWD Division,Lakshmipur,4,4,10,40
Noakhali PWD Division,Noakhali,4,4,10,41
Chattogram PWD Division-1,Chattogram,4,4,11,42
Chattogram PWD Division-2,Chattogram,4,4,11,43
Chattogram PWD Division-3,Chattogram,4,4,12,44
Chattogram PWD Division-4,Chattogram,4,4,12,45
Cox's Bazar PWD Division,Chattogram,4,4,12,46
PWD E/M Division-1,Chattogram,4,4,13,47
PWD E/M Division-2,Chattogram,4,4,13,48
PWD E/M P&D Division,Chattogram,4,4,13,49
Bandarban PWD Division,Bandarban,4,4,14,50
Khagrachhari PWD Division,Khagrachhari,4,4,14,51
Rangamati PWD Division,Rangamati,4,4,14,52
Habiganj PWD Division,Habiganj,4,5,15,53
Moulvibazar PWD Division,Moulvibazar,4,5,15,54
Sunamganj PWD Division,Sunamganj,4,5,15,55
Sylhet PWD Division,Sylhet,4,5,15,56
Sylhet PWD E/M P&D Division,Sylhet,4,5,15,57
Barguna PWD Division,Barguna,4,6,16,58
Barishal PWD Division,Barishal,4,6,16,59
Bhola PWD Division,Bhola,4,6,16,60
Jhalakathi PWD Division,Jhalakathi,4,6,16,61
Patuakhali PWD Division,Patuakhali,4,6,16,62
Pirojpur PWD Division,Pirojpur,4,6,16,63
Barishal PWD E/M P&D Division,Barishal,4,6,16,64
Gaibandha PWD Division,Gaibandha,4,7,17,65
Kurigram PWD Division,Kurigram,4,7,17,66
Lalmonirhat PWD Division,Lalmonirhat,4,7,17,67
Panchagarh PWD Division,Panchagarh,4,7,17,68
Rangpur PWD Division,Rangpur,4,7,17,69
Rangpur PWD E/M P&D Division,Rangpur,4,7,17,70
Dinajpur PWD Division,Dinajpur,4,7,18,71
Nilphamari PWD Division,Nilphamari,4,7,18,72
Thakurgaon PWD Division,Thakurgaon,4,7,18,73
Kishoreganj PWD Division,Kishoreganj,4,8,19,74
Mymensingh PWD Division,Mymensingh,4,8,19,75
Mymensingh PWD E/M P&D Division,Mymensingh,4,8,19,76
Netrokona PWD Division,Netrokona,4,8,19,77
Jamalpur PWD Division,Jamalpur,4,8,20,78
Sherpur PWD Division,Sherpur,4,8,20,79
Tangail PWD Division,Tangail,4,8,20,80
Faridpur PWD Division,Faridpur,4,9,21,81
Gopalganj PWD Division,Gopalganj,4,9,21,82
Gopalganj PWD E/M P&D Division,Gopalganj,4,9,21,83
Madaripur PWD Division,Madaripur,4,9,21,84
Rajbari PWD Division,Rajbari,4,9,21,85
Shariatpur PWD Division,Shariatpur,4,9,21,86
Arboriculture PWD Division,Dhaka,4,10,22,87
City PWD Division,Dhaka,4,10,22,88
Dhaka PWD Division-1,Dhaka,4,10,22,89
Dhaka PWD Division-2,Dhaka,4,10,22,90
Dhaka PWD Division-3,Dhaka,4,10,23,91
Dhaka PWD Division-4,Dhaka,4,10,23,92
Eden Bhaban PWD Division,Dhaka,4,10,23,93
Medical College PWD Division,Dhaka,4,10,23,94
Mohakhali PWD Division,Dhaka,4,10,24,95
Sher-E-Bangla Nagar PWD Division-1,Dhaka,4,10,24,96
