office_name,office_address,office_type,zone_id
Dhaka PWD Circle 4,Dhaka,3,1
Savar PWD Circle,Dhaka,3,1
Dhaka PWD Circle-5,Dhaka,3,1
Bogura PWD Circle,Bogura,3,2
Rajshahi PWD Circle,Rajshahi,3,2
Pabna PWD Circle,Pabna,3,2
Rajshahi PWD E/M Circle,Rajshahi,3,2
Jashore PWD Circle,Jashore,3,3
Khulna PWD Circle,Khulna,3,3
Cumilla PWD Circle,Cumilla,3,4
Chattogram PWD Circle-1,Chattogram,3,4
Chattogram PWD Circle-2,Chattogram,3,4
PWD E/M Circle,Chattogram,3,4
Rangamati PWD Circle,Rangamati,3,4
Sylhet PWD Circle,Sylhet,3,5
Barishal PWD Circle,Barishal,3,6
Rangpur PWD Circle,Rangpur,3,7
Dinajpur PWD Circle,Dinajpur,3,7
Mymensingh PWD Circle,Mymensingh,3,8
Tangail PWD Circle,Tangail,3,8
Gopalganj PWD Circle,Gopalganj,3,9
Dhaka PWD Circle-1,Dhaka,3,10
Dhaka PWD Circle-2,Dhaka,3,10
Dhaka PWD Circle-3,Dhaka,3,10
PWD E/M Circle-1,Dhaka,3,11
PWD E/M Circle-2,Dhaka,3,11
PWD E/M Circle-3,Dhaka,3,11
PWD E/M Planning Circle,Dhaka,3,11
PWD E/M P&D Circle,Dhaka,3,12
PWD E/M Circle-4,Dhaka,3,12
PWD E/M Design Circle,Dhaka,3,12
PWD MIS Circle,Dhaka,3,12
PWD Maintenance Circle,Dhaka,3,13
