office_name,office_address,office_type,zone_id,circle_id,field_office
Azimpur PWD Division,Azimpur,4,1,1,1
Motijheel PWD Division,Motijheel,4,1,1,1
Munshiganj PWD Division,Munshiganj,4,1,1,1
Narayanganj PWD Division,Narayanganj,4,1,1,1
Narsingdi PWD Division,Narsingdi,4,1,1,1
PWD Resource Division,Dhaka,4,1,1,1
Gazipur PWD Division,Gazipur,4,1,2,1
Manikganj PWD Division,Manikganj,4,1,2,1
Mirpur PWD Division,Mirpur,4,1,2,1
Savar PWD Division,Savar,4,1,2,1
Dhaka PWD Division-5,Dhaka,4,1,3,1
Bogura PWD Division,Bogura,4,2,4,1
Joypurhat PWD Division,Joypurhat,4,2,4,1
Chapainawabganj PWD Division,Chapainawabganj,4,2,5,1
Naogaon PWD Division,Naogaon,4,2,5,1
Rajshahi PWD Division-1,Rajshahi,4,2,5,1
Rajshahi PWD Division-2,Rajshahi,4,2,5,1
Rajshahi PWD E/M P&D Division,Rajshahi,4,2,5,1
Natore PWD Division,Natore,4,2,6,1
Pabna PWD Division,Pabna,4,2,6,1
Pabna PWD E/M Division,Pabna,4,2,6,1
Sirajganj PWD Division,Sirajganj,4,2,6,1
Rajshahi PWD E/M Division,Rajshahi,4,2,7,1
Chuadanga PWD Division,Chuadanga,4,3,8,1
Jashore PWD Division,Jashore,4,3,8,1
Jhenaidah PWD Division,Jhenaidah,4,3,8,1
Kushtia PWD Division,Kushtia,4,3,8,1
Magura PWD Division,Magura,4,3,8,1
Meherpur PWD Division,Meherpur,4,3,8,1
Narail PWD Division,Narail,4,3,8,1
Bagerhat PWD Division,Bagerhat,4,3,9,1
Khulna PWD Division-1,Khulna,4,3,9,1
Khulna PWD Division-2,Khulna,4,3,9,1
Khulna PWD E/M P&D Division,Khulna,4,3,9,1
Satkhira PWD Division,Satkhira,4,3,9,1
Brahmanbaria PWD Division,Brahmanbaria,4,4,10,1
Chandpur PWD Division,Chandpur,4,4,10,1
Cumilla PWD Division,Cumilla,4,4,10,1
Feni PWD Division,Feni,4,4,10,1
Lakshmipur PWD Division,Lakshmipur,4,4,10,1
Noakhali PWD Division,Noakhali,4,4,10,1
Chattogram PWD Division-1,Chattogram,4,4,11,1
Chattogram PWD Division-2,Chattogram,4,4,11,1
Chattogram PWD Division-3,Chattogram,4,4,12,1
Chattogram PWD Division-4,Chattogram,4,4,12,1
Cox's Bazar PWD Division,Chattogram,4,4,12,1
PWD E/M Division-1,Chattogram,4,4,13,1
PWD E/M Division-2,Chattogram,4,4,13,1
PWD E/M P&D Division,Chattogram,4,4,13,1
Bandarban PWD Division,Bandarban,4,4,14,1
Khagrachhari PWD Division,Khagrachhari,4,4,14,1
Rangamati PWD Division,Rangamati,4,4,14,1
Habiganj PWD Division,Habiganj,4,5,15,1
Moulvibazar PWD Division,Moulvibazar,4,5,15,1
Sunamganj PWD Division,Sunamganj,4,5,15,1
Sylhet PWD Division,Sylhet,4,5,15,1
Sylhet PWD E/M P&D Division,Sylhet,4,5,15,1
Barguna PWD Division,Barguna,4,6,16,1
Barishal PWD Division,Barishal,4,6,16,1
Bhola PWD Division,Bhola,4,6,16,1
Jhalakathi PWD Division,Jhalakathi,4,6,16,1
Patuakhali PWD Division,Patuakhali,4,6,16,1
Pirojpur PWD Division,Pirojpur,4,6,16,1
Barishal PWD E/M P&D Division,Barishal,4,6,16,1
Gaibandha PWD Division,Gaibandha,4,7,17,1
Kurigram PWD Division,Kurigram,4,7,17,1
Lalmonirhat PWD Division,Lalmonirhat,4,7,17,1
Panchagarh PWD Division,Panchagarh,4,7,17,1
Rangpur PWD Division,Rangpur,4,7,17,1
Rangpur PWD E/M P&D Division,Rangpur,4,7,17,1
Dinajpur PWD Division,Dinajpur,4,7,18,1
Nilphamari PWD Division,Nilphamari,4,7,18,1
Thakurgaon PWD Division,Thakurgaon,4,7,18,1
Kishoreganj PWD Division,Kishoreganj,4,8,19,1
Mymensingh PWD Division,Mymensingh,4,8,19,1
